StudentID,Date,Time Spent On Materials (Hours),Forum Posts,Instructor Messages,Completed Assignments,Time Spent On Forum (Hours)
S001,2025-03-01,2.5,3,2,2,0.5
S002,2025-03-01,1,1,1,1,0.2
S003,2025-03-01,3,5,3,3,1
S004,2025-03-01,2,2,1,1,0.3
S005,2025-03-01,1.5,0,0,2,0
S006,2025-03-01,4,4,4,4,1.2
S007,2025-03-01,1,1,0,1,0.1
S008,2025-03-01,2.5,3,2,2,0.6
S009,2025-03-01,3.5,6,3,3,0.8
S010,2025-03-01,2,2,1,1,0.4
S001,2025-03-02,2,2,1,2,0.3
S002,2025-03-02,1.5,0,0,1,0
S003,2025-03-02,3.5,4,3,4,0.9
S004,2025-03-02,2.5,1,2,2,0.5
S005,2025-03-02,2,1,1,2,0.3
S006,2025-03-02,3,3,4,4,0.7
S007,2025-03-02,1.5,2,1,2,0.2
S008,2025-03-02,3,4,2,3,0.8
S009,2025-03-02,4,5,3,4,1
S010,2025-03-02,1.5,1,0,1,0.1
S001,2025-03-03,2.5,3,2,2,0.6
S002,2025-03-03,1,1,1,1,0.3
S003,2025-03-03,4,6,4,4,1.1
S004,2025-03-03,2,1,1,2,0.4
S005,2025-03-03,1.5,0,0,2,0
S006,2025-03-03,3.5,4,3,4,0.8
S007,2025-03-03,1,0,1,1,0.1
S008,2025-03-03,2,2,2,2,0.5
S009,2025-03-03,3,4,3,3,0.7
S010,2025-03-03,2,2,1,1,0.4
S001,2025-03-04,3,4,2,3,0.7
S002,2025-03-04,2.5,1,0,2,0.1
S003,2025-03-04,3.5,5,3,3,1
S004,2025-03-04,2.5,3,2,2,0.6
S005,2025-03-04,1.5,1,1,1,0.2
S006,2025-03-04,4,4,4,4,1.2
S007,2025-03-04,1.5,0,1,1,0.2
S008,2025-03-04,2.5,2,2,2,0.4
S009,2025-03-04,3.5,5,3,4,0.9
S010,2025-03-04,2,1,0,1,0.3